wl,power
280,4.7309E-23
280.5,1.2307E-21
281,5.6895E-21
281.5,1.5662E-19
282,1.1946E-18
282.5,4.5436E-18
283,1.8452E-17
283.5,3.5360E-17
284,7.2670E-16
284.5,2.4856E-15
285,8.0142E-15
285.5,4.2613E-14
286,1.3684E-13
286.5,8.3823E-13
287,2.7367E-12
287.5,1.0903E-11
288,6.2337E-11
288.5,1.7162E-10
289,5.6265E-10
289.5,2.0749E-09
290,6.0168E-09
290.5,1.3783E-08
291,3.5052E-08
291.5,1.0913E-07
292,2.6830E-07
292.5,4.2685E-07
293,8.6466E-07
293.5,2.2707E-06
294,4.1744E-06
294.5,6.5911E-06
295,1.2290E-05
295.5,2.7826E-05
296,4.7904E-05
296.5,7.1345E-05
297,9.6800E-05
297.5,1.8608E-04
298,2.8988E-04
298.5,3.5789E-04
299,4.9211E-04
299.5,8.6068E-04
300,1.0205E-03
300.5,1.2450E-03
301,1.9300E-03
301.5,2.6914E-03
302,2.9209E-03
302.5,4.2840E-03
303,7.0945E-03
303.5,8.9795E-03
304,9.4701E-03
304.5,1.1953E-02
305,1.6463E-02
305.5,1.8719E-02
306,1.8577E-02
306.5,2.1108E-02
307,2.7849E-02
307.5,3.5635E-02
308,3.7837E-02
308.5,4.1430E-02
309,4.0534E-02
309.5,4.3306E-02
310,5.0939E-02
310.5,6.5540E-02
311,8.2922E-02
311.5,8.4080E-02
312,9.3376E-02
312.5,9.8984E-02
313,1.0733E-01
313.5,1.0757E-01
314,1.1969E-01
314.5,1.3060E-01
315,1.3625E-01
315.5,1.1838E-01
316,1.2348E-01
316.5,1.5036E-01
317,1.7158E-01
317.5,1.8245E-01
318,1.7594E-01
318.5,1.8591E-01
319,2.0470E-01
319.5,1.9589E-01
320,2.0527E-01
320.5,2.4525E-01
321,2.5024E-01
321.5,2.3843E-01
322,2.2203E-01
322.5,2.1709E-01
323,2.1226E-01
323.5,2.4861E-01
324,2.7537E-01
324.5,2.8321E-01
325,2.7894E-01
325.5,3.2436E-01
326,3.8120E-01
326.5,4.0722E-01
327,3.9806E-01
327.5,3.8465E-01
328,3.5116E-01
328.5,3.7164E-01
329,4.2235E-01
329.5,4.6878E-01
330,4.7139E-01
330.5,4.2800E-01
331,4.0262E-01
331.5,4.1806E-01
332,4.3623E-01
332.5,4.3919E-01
333,4.2944E-01
333.5,4.0724E-01
334,4.1497E-01
334.5,4.4509E-01
335,4.6388E-01
335.5,4.5313E-01
336,4.1519E-01
336.5,3.8214E-01
337,3.7380E-01
337.5,4.0051E-01
338,4.3411E-01
338.5,4.5527E-01
339,4.6355E-01
339.5,4.7446E-01
340,5.0180E-01
340.5,5.0071E-01
341,4.7139E-01
341.5,4.6935E-01
342,4.8934E-01
342.5,5.0767E-01
343,5.1489E-01
343.5,4.8609E-01
344,4.1843E-01
344.5,4.0307E-01
345,4.5898E-01
345.5,4.8932E-01
346,4.7778E-01
346.5,4.8657E-01
347,4.9404E-01
347.5,4.7674E-01
348,4.7511E-01
348.5,4.8336E-01
349,4.6564E-01
349.5,4.7805E-01
350,5.2798E-01
350.5,5.6741E-01
351,5.5172E-01
351.5,5.3022E-01
352,5.1791E-01
352.5,4.8962E-01
353,5.2040E-01
353.5,5.7228E-01
354,6.0498E-01
354.5,6.1156E-01
355,6.1140E-01
355.5,5.9028E-01
356,5.5387E-01
356.5,5.1942E-01
357,4.5673E-01
357.5,4.6215E-01
358,4.3006E-01
358.5,3.9926E-01
359,4.6953E-01
359.5,5.6549E-01
360,5.9817E-01
360.5,5.6531E-01
361,5.2024E-01
361.5,5.0956E-01
362,5.3420E-01
362.5,5.8510E-01
363,6.0191E-01
363.5,5.8541E-01
364,6.0628E-01
364.5,6.0058E-01
365,6.2359E-01
365.5,6.8628E-01
366,7.3532E-01
366.5,7.3658E-01
367,7.2285E-01
367.5,7.0914E-01
368,6.6759E-01
368.5,6.6310E-01
369,6.9315E-01
369.5,7.4469E-01
370,7.5507E-01
370.5,6.8261E-01
371,6.9338E-01
371.5,7.2051E-01
372,6.7444E-01
372.5,6.4253E-01
373,6.1886E-01
373.5,5.5786E-01
374,5.5640E-01
374.5,5.5227E-01
375,5.8930E-01
375.5,6.5162E-01
376,6.7480E-01
376.5,6.6390E-01
377,7.1225E-01
377.5,7.9455E-01
378,8.5595E-01
378.5,8.3418E-01
379,7.4389E-01
379.5,6.6683E-01
380,7.0077E-01
380.5,7.5075E-01
381,7.6383E-01
381.5,6.8837E-01
382,5.8678E-01
382.5,5.0762E-01
383,4.5499E-01
383.5,4.4049E-01
